"","lon","lat","bio_1","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9"
"551",-98.70392,26.5013,228,294,148,572,109,18,53,225,80,165,89,129,44,5715,367,75,292,270,165
"552",-97.58531,28.20644,217,287,135,835,138,31,42,299,130,246,138,117,40,5924,351,64,287,263,149
"553",-99.1158,26.51484,231,303,146,537,111,16,58,229,65,161,72,128,42,6111,375,73,302,274,163
"554",-99.11629,26.51458,231,303,146,537,111,16,58,229,65,161,72,128,42,6111,375,73,302,274,163
"555",-97.6072,26.88567,224,285,148,667,131,18,52,264,95,183,111,99,39,5354,337,84,253,265,193
"557",-97.73643,26.78423,224,286,149,659,129,18,53,260,93,186,107,106,40,5365,344,83,261,265,194
"558",-97.75686,26.79588,225,287,149,657,128,18,53,259,93,186,106,107,40,5393,345,83,262,267,195
"559",-98.27807,26.10735,233,293,157,506,98,11,57,189,65,130,82,119,43,5319,360,89,271,273,175
"560",-98.649,26.602,226,291,146,578,109,18,52,226,81,166,90,128,43,5660,364,73,291,267,163
"561",-98.2485,28.44349,217,292,129,649,96,24,40,223,101,176,107,134,42,6342,365,49,316,265,145
"562",-98.64856,29.27771,209,288,121,670,93,32,37,224,109,162,115,127,40,6516,357,47,310,258,131
"563",-100.20083,25.36839,172,207,131,758,175,13,76,379,55,313,59,139,61,2986,278,53,225,201,139
"564",-100.197,25.37,172,206,131,768,178,13,77,384,55,317,59,139,61,2983,277,52,225,201,139
"565",-100.19667,25.37028,172,206,131,768,178,13,77,384,55,317,59,139,61,2983,277,52,225,201,139
"566",-100.23406,25.46172,200,254,139,628,158,13,84,330,42,259,42,129,50,4547,322,65,257,231,152
"567",-100.198,25.367,172,206,131,768,178,13,77,384,55,317,59,139,61,2983,277,52,225,201,139
"568",-100.19778,25.36722,172,206,131,768,178,13,77,384,55,317,59,139,61,2983,277,52,225,201,139
"569",-100.20186,25.36853,172,207,131,758,175,13,76,379,55,313,59,139,61,2986,278,53,225,201,139
"570",-100.195,25.373,172,206,131,768,178,13,77,384,55,317,59,139,61,2983,277,52,225,201,139
"571",-100.07428,25.24031,216,275,149,882,200,18,75,440,61,337,61,135,48,4990,349,73,276,251,149
"572",-100.191,25.379,175,213,132,847,198,14,78,425,59,353,64,138,60,3190,282,55,227,207,140
"573",-100.074,25.24,216,275,149,882,200,18,75,440,61,337,61,135,48,4990,349,73,276,251,149
"574",-100.234,25.462,200,254,139,628,158,13,84,330,42,259,42,129,50,4547,322,65,257,231,152
"575",-100.343,25.497,194,245,135,528,131,10,81,274,36,218,39,131,52,4344,312,61,251,221,147
"576",-100.194,25.374,172,206,131,768,178,13,77,384,55,317,59,139,61,2983,277,52,225,201,139
"577",-100.081,25.243,207,259,147,722,170,14,77,363,49,284,49,134,51,4467,331,70,261,239,147
